,UserId
1,259308
71,261135
87,261534
118,262437
193,264390
238,265503
266,266238
327,267813
328,267834
338,268170
366,269178
400,270144
432,271257
448,271719
456,271950
537,274428
547,274722
555,274974
641,277536
642,277557
650,277788
713,279636
721,279804
781,281694
868,284025
934,286209
969,287238
975,287469
1038,289317
1043,289464
1048,289758
1081,290661
1100,291228
1111,291501
1227,294945
1262,295890
1298,297045
1379,299418
1521,303660
1534,304017
1579,305193
1593,305508
1657,307566
1680,308196
1701,308805
1725,309519
1812,312186
1860,313635
1924,315672
1933,315903
1949,316281
2035,318591
2072,319662
2095,320271
2110,320607
2144,321636
2154,321930
2182,322728
2233,324282
2258,324933
2387,328629
2402,329028
2454,330519
2545,333144
2592,334719
2654,336567
2741,339108
2749,339360
2788,340410
2835,341796
2838,341901
2937,344862
3027,347613
3139,351036
3257,354312
3311,355908
3326,356286
3341,356769
3342,356790
3376,357924
3439,359793
3474,360906
3487,361305
3545,363111
3557,363573
3583,364434
3608,365106
3610,365148
3613,365274
3614,365316
3694,367731
3770,369936
3853,372183
3939,374976
3992,376425
4041,377895
4056,378357
4084,379344
4097,379659
4118,380373
4137,380982
4170,381864
4178,382074
